hand,name,index,segmentation,depth,pose_estimation
inspire_f1,frog_bowl,1,X,X,X
inspire_f1,frog_bowl,2,X,X,X
inspire_f1,frog_bowl,3,X,X,X
inspire_f1,frog_bowl,4,X,X,X
inspire_f1,frog_cup,0,X,X,X
inspire_f1,frog_cup,1,X,X,X
inspire_f1,frog_cup,2,X,X,X
inspire_f1,frog_cup,3,X,X,X
inspire_f1,frog_cup,4,X,X,X
inspire_f1,frog_cup,5,X,X,X
inspire_f1,frog_cup,6,X,X,X
inspire_f1,fruit_cutter_base,0,X,X,X
inspire_f1,fruit_cutter_base,1,X,X,X
inspire_f1,fruit_cutter_base,2,X,X,X
inspire_f1,fruit_cutter_base,3,X,X,X
inspire_f1,fruit_cutter_base,4,X,X,X
inspire_f1,fruit_cutter_base,5,X,X,X
inspire_f1,fruit_cutter_base,6,X,X,X
inspire_f1,fruit_cutter_green,0,X,X,X
inspire_f1,fruit_cutter_green,1,X,X,X
inspire_f1,fruit_cutter_green,2,X,X,X
inspire_f1,fruit_cutter_green,3,X,X,X
inspire_f1,fruit_cutter_green,4,X,X,X
inspire_f1,fruit_cutter_green,5,X,X,X
inspire_f1,fruit_cutter_green,6,X,X,X
inspire_f1,fruit_cutter_green,7,X,X,X
inspire_f1,fruit_cutter_green,8,X,X,X
inspire_f1,fruit_cutter_green,9,X,X,X
inspire_f1,fruit_cutter_green,10,X,X,X
inspire_f1,green_attached_container,0,X,X,X
inspire_f1,green_attached_container,1,X,X,X
inspire_f1,green_attached_container,2,X,X,X
inspire_f1,green_attached_container,3,X,X,X
inspire_f1,green_attached_container,4,X,X,X
inspire_f1,green_attached_container,5,X,X,X
inspire_f1,green_attached_container,6,X,X,X
inspire_f1,green_attached_container,7,X,X,X
inspire_f1,green_attached_container,8,X,X,X
inspire_f1,green_attached_container,9,X,X,X
inspire_f1,green_cactus_vase,0,X,X,X
inspire_f1,green_cactus_vase,1,X,X,X
inspire_f1,green_cactus_vase,2,X,X,X
inspire_f1,green_cactus_vase,3,X,X,X
inspire_f1,green_cactus_vase,4,X,X,X
inspire_f1,green_cactus_vase,5,X,X,X
inspire_f1,green_cactus_vase,6,X,X,X
inspire_f1,green_cactus_vase,7,X,X,X
inspire_f1,green_glass,0,X,X,X
inspire_f1,green_glass,1,X,X,X
inspire_f1,green_glass,2,X,X,X
inspire_f1,green_glass,3,X,X,X
inspire_f1,green_glass,4,X,X,X
inspire_f1,green_glass,5,X,X,X
inspire_f1,green_glass,6,X,X,X
inspire_f1,green_soap_dispenser,0,X,X,X
inspire_f1,green_soap_dispenser,1,X,X,X
inspire_f1,green_soap_dispenser,2,X,X,X
inspire_f1,green_soap_dispenser,3,X,X,X
inspire_f1,green_soap_dispenser,4,X,X,X
inspire_f1,green_soap_dispenser,5,X,X,X
inspire_f1,green_soap_dispenser,6,X,X,X
inspire_f1,green_soap_dispenser,7,X,X,X
inspire_f1,green_tray,0,X,X,X
inspire_f1,green_tray,1,X,X,X
inspire_f1,green_tray,2,X,X,X
inspire_f1,green_tray,3,X,X,X
inspire_f1,green_tray,4,X,X,X
inspire_f1,green_tray,5,X,X,X
inspire_f1,grey_pot,0,X,X,X
inspire_f1,grey_pot,1,X,X,X
inspire_f1,grey_pot,2,X,X,X
inspire_f1,grey_pot,3,X,X,X
inspire_f1,grey_pot,4,X,X,X
inspire_f1,grey_pot,5,X,X,X
inspire_f1,grey_pot,6,X,X,X
inspire_f1,grey_pot,7,X,X,X
inspire_f1,grey_pot,8,X,X,X
inspire_f1,grid_desktop_organzier,0,X,X,X
inspire_f1,grid_desktop_organzier,1,X,X,X
inspire_f1,grid_desktop_organzier,2,X,X,X
inspire_f1,grid_desktop_organzier,3,X,X,X
inspire_f1,grid_desktop_organzier,4,X,X,X
inspire_f1,grid_desktop_organzier,5,X,X,X
inspire_f1,hammer,0,X,X,X
inspire_f1,hammer,1,X,X,X
inspire_f1,hammer,2,X,X,X
inspire_f1,hammer,3,X,X,X
inspire_f1,hammer,4,X,X,X
inspire_f1,hammer,5,X,X,X
inspire_f1,hammer,6,X,X,X
inspire_f1,hammer,7,X,X,X
inspire_f1,icecream_scoop,0,X,X,X
inspire_f1,icecream_scoop,1,X,X,X
inspire_f1,icecream_scoop,2,X,X,X
inspire_f1,icecream_scoop,3,X,X,X
inspire_f1,icecream_scoop,4,X,X,X
inspire_f1,icecream_scoop,5,X,X,X
inspire_f1,icecream_scoop,6,X,X,X
inspire_f1,instant_rice,0,X,X,X
inspire_f1,instant_rice,1,X,X,X
inspire_f1,instant_rice,2,X,X,X
inspire_f1,instant_rice,3,X,X,X
inspire_f1,instant_rice,4,X,X,X
inspire_f1,instant_rice,5,X,X,X
inspire_f1,instant_rice,6,X,X,X
inspire_f1,jja_ramen,0,X,X,X
inspire_f1,jja_ramen,1,X,X,X
inspire_f1,jja_ramen,2,X,X,X
inspire_f1,jja_ramen,3,X,X,X
inspire_f1,jja_ramen,4,X,X,X
inspire_f1,jja_ramen,5,X,X,X
inspire_f1,jja_ramen,6,X,X,X
inspire_f1,knife_sharpener,0,X,X,X
inspire_f1,knife_sharpener,1,X,X,X
inspire_f1,knife_sharpener,2,X,X,X
inspire_f1,knife_sharpener,3,X,X,X
inspire_f1,knife_sharpener,4,X,X,X
inspire_f1,knife_sharpener,5,X,X,X
inspire_f1,knife_sharpener,6,X,X,X
inspire_f1,large_peg,0,X,X,X
inspire_f1,large_peg,1,X,X,X
inspire_f1,large_peg,2,X,X,X
inspire_f1,large_peg,3,X,X,X
inspire_f1,large_peg,4,X,X,X
inspire_f1,large_peg,5,X,X,X
inspire_f1,lemon,0,X,X,X
inspire_f1,lemon,1,X,X,X
inspire_f1,lemon,2,X,X,X
inspire_f1,lemon,3,X,X,X
inspire_f1,lemon,4,X,X,X
inspire_f1,lemon_squeezer,0,X,X,X
inspire_f1,lemon_squeezer,1,X,X,X
inspire_f1,lemon_squeezer,2,X,X,X
inspire_f1,lemon_squeezer,3,X,X,X
inspire_f1,lemon_squeezer,4,X,X,X
inspire_f1,lemon_squeezer,5,X,X,X
inspire_f1,lemon_squeezer,6,X,X,X
inspire_f1,lemon_squeezer,7,X,X,X
inspire_f1,lemon_squeezer,8,X,X,X
inspire_f1,lemon_squeezer,9,X,X,X
inspire_f1,lemon_squeezer,10,X,X,X
inspire_f1,lemon_squeezer,11,X,X,X
inspire_f1,lemon_squeezer,12,X,X,X
inspire_f1,lemon_squeezer,13,X,X,X
inspire_f1,lemon_squeezer,14,X,X,X
inspire_f1,lemon_squeezer,15,X,X,X
inspire_f1,light_green_basket,0,X,X,X
inspire_f1,light_green_basket,1,X,X,X
inspire_f1,light_green_basket,2,X,X,X
inspire_f1,light_green_basket,3,X,X,X
inspire_f1,light_green_basket,4,X,X,X
inspire_f1,lilac_food_container,0,X,X,X
inspire_f1,lilac_food_container,1,X,X,X
inspire_f1,lilac_food_container,2,X,X,X
inspire_f1,lilac_food_container,3,X,X,X
inspire_f1,lilac_food_container,4,X,X,X
inspire_f1,lotion,0,X,X,X
inspire_f1,lotion,1,X,X,X
inspire_f1,lotion,2,X,X,X
inspire_f1,lotion,3,X,X,X
inspire_f1,lotion,4,X,X,X
inspire_f1,meat_thermometer,0,X,X,X
inspire_f1,meat_thermometer,1,X,X,X
inspire_f1,meat_thermometer,2,X,X,X
inspire_f1,meat_thermometer,3,X,X,X
inspire_f1,meat_thermometer,4,X,X,X
inspire_f1,meat_thermometer,5,X,X,X
inspire_f1,meat_thermometer,6,X,X,X
inspire_f1,meat_thermometer,7,X,X,X
inspire_f1,meat_thermometer,8,X,X,X
inspire_f1,meat_thermometer,9,X,X,X
inspire_f1,meat_thermometer,10,X,X,X
inspire_f1,metal_measuring_flask,0,X,X,X
inspire_f1,metal_measuring_flask,1,X,X,X
inspire_f1,metal_measuring_flask,2,X,X,X
inspire_f1,metal_measuring_flask,3,X,X,X
inspire_f1,metal_measuring_flask,4,X,X,X
inspire_f1,metal_measuring_flask,5,X,X,X
inspire_f1,metal_measuring_flask,6,X,X,X
inspire_f1,metal_measuring_flask,7,X,X,X
inspire_f1,metal_scoop_big,0,X,X,X
inspire_f1,metal_scoop_big,1,X,X,X
inspire_f1,metal_scoop_big,2,X,X,X
inspire_f1,metal_scoop_big,3,X,X,X
inspire_f1,metal_scoop_big,4,X,X,X
inspire_f1,metal_scoop_big,5,X,X,X
inspire_f1,metal_scoop_big,6,X,X,X
inspire_f1,metal_scoop_big,7,X,X,X
inspire_f1,metal_scoop_small,0,X,X,X
inspire_f1,metal_scoop_small,1,X,X,X
inspire_f1,metal_scoop_small,2,X,X,X
inspire_f1,metal_scoop_small,3,X,X,X
inspire_f1,metal_scoop_small,4,X,X,X
inspire_f1,metal_scoop_small,5,X,X,X
inspire_f1,metal_scoop_small,6,X,X,X
inspire_f1,metal_scoop_small,7,X,X,X
inspire_f1,mug_holder,0,X,X,X
inspire_f1,mug_holder,1,X,X,X
inspire_f1,mug_holder,2,X,X,X
inspire_f1,mug_holder,3,X,X,X
inspire_f1,mug_holder,4,X,X,X
inspire_f1,mug_holder,5,X,X,X
inspire_f1,orange,0,X,X,X
inspire_f1,orange,1,X,X,X
inspire_f1,orange,2,X,X,X
inspire_f1,orange,3,X,X,X
inspire_f1,orange,4,X,X,X
inspire_f1,orange,5,X,X,X
inspire_f1,organizer_beige,0,X,X,X
inspire_f1,organizer_beige,1,X,X,X
inspire_f1,organizer_beige,2,X,X,X
inspire_f1,organizer_beige,3,X,X,X
inspire_f1,organizer_beige,4,X,X,X
inspire_f1,organizer_beige,5,X,X,X
inspire_f1,organizer_beige,6,X,X,X
inspire_f1,organizer_beige,7,X,X,X
inspire_f1,organizer_beige,8,X,X,X
inspire_f1,pastel_blue_cup,0,X,X,X
inspire_f1,pastel_blue_cup,1,X,X,X
inspire_f1,pastel_blue_cup,2,X,X,X
inspire_f1,pastel_blue_cup,3,X,X,X
inspire_f1,pastel_blue_cup,4,X,X,X
inspire_f1,pastel_blue_cup,5,X,X,X
inspire_f1,pastel_blue_cup,6,X,X,X
inspire_f1,pastel_blue_cup,7,X,X,X
inspire_f1,pastel_light_green_bowl,0,X,X,X
inspire_f1,pastel_light_green_bowl,1,X,X,X
inspire_f1,pastel_light_green_bowl,2,X,X,X
inspire_f1,pastel_light_green_bowl,3,X,X,X
inspire_f1,pastel_light_green_bowl,4,X,X,X
inspire_f1,pastel_light_green_bowl,5,X,X,X
inspire_f1,pastel_light_green_bowl,6,X,X,X
inspire_f1,pastel_light_green_bowl,7,X,X,X
inspire_f1,pepper_tuna,0,X,X,X
inspire_f1,pepper_tuna,1,X,X,X
inspire_f1,pepper_tuna,2,X,X,X
inspire_f1,pepper_tuna,3,X,X,X
inspire_f1,pepper_tuna,4,X,X,X
inspire_f1,pepper_tuna,5,X,X,X
inspire_f1,pepper_tuna,6,X,X,X
inspire_f1,pepsi,0,X,X,X
inspire_f1,pepsi,1,X,X,X
inspire_f1,pepsi,2,X,X,X
inspire_f1,pepsi,3,X,X,X
inspire_f1,pepsi,4,X,X,X
inspire_f1,pepsi,5,X,X,X
inspire_f1,pingpong,0,X,X,X
inspire_f1,pingpong,1,X,X,X
inspire_f1,pingpong,2,X,X,X
inspire_f1,pingpong,3,X,X,X
inspire_f1,pingpong,4,X,X,X
inspire_f1,pingpong,5,X,X,X
inspire_f1,pingpong,6,X,X,X
inspire_f1,pink_clock,0,X,X,X
inspire_f1,pink_clock,1,X,X,X
inspire_f1,pink_clock,2,X,X,X
inspire_f1,pink_clock,3,X,X,X
inspire_f1,pink_clock,4,X,X,X
inspire_f1,pink_clock,5,X,X,X
inspire_f1,pink_clock,6,X,X,X
inspire_f1,plant_pot,0,X,X,X
inspire_f1,plant_pot,1,X,X,X
inspire_f1,plant_pot,2,X,X,X
inspire_f1,plant_pot,3,X,X,X
inspire_f1,plant_pot,4,X,X,X
inspire_f1,plant_pot,5,X,X,X
inspire_f1,plant_pot,6,X,X,X
inspire_f1,plant_pot,7,X,X,X
inspire_f1,plant_pot,8,X,X,X
inspire_f1,plastic_elephant_jug,0,X,X,X
inspire_f1,plastic_elephant_jug,1,X,X,X
inspire_f1,plastic_elephant_jug,2,X,X,X
inspire_f1,plastic_elephant_jug,3,X,X,X
inspire_f1,plastic_elephant_jug,4,X,X,X
inspire_f1,potato_masher,0,X,X,X
inspire_f1,potato_masher,1,X,X,X
inspire_f1,potato_masher,2,X,X,X
inspire_f1,potato_masher,3,X,X,X
inspire_f1,potato_masher,4,X,X,X
inspire_f1,pringles,0,X,X,X
inspire_f1,pringles,1,X,X,X
inspire_f1,pringles,2,X,X,X
inspire_f1,pringles,3,X,X,X
inspire_f1,pringles,4,X,X,X
inspire_f1,pringles,5,X,X,X
inspire_f1,pringles,6,X,X,X
inspire_f1,pringles,7,X,X,X
inspire_f1,pringles,8,X,X,X
inspire_f1,pringles_small,0,X,X,X
inspire_f1,pringles_small,1,X,X,X
inspire_f1,pringles_small,2,X,X,X
inspire_f1,pringles_small,3,X,X,X
inspire_f1,pringles_small,4,X,X,X
inspire_f1,pringles_small,5,X,X,X
inspire_f1,pringles_small,6,X,X,X
inspire_f1,pringles_small,7,X,X,X
inspire_f1,pringles_small,8,X,X,X
inspire_f1,rectangular_frying_pan,0,X,X,X
inspire_f1,rectangular_frying_pan,1,X,X,X
inspire_f1,rectangular_frying_pan,2,X,X,X
inspire_f1,rectangular_frying_pan,3,X,X,X
inspire_f1,rectangular_frying_pan,4,X,X,X
inspire_f1,rectangular_frying_pan,5,X,X,X
inspire_f1,redcar,0,X,X,X
inspire_f1,redcar,1,X,X,X
inspire_f1,redcar,2,X,X,X
inspire_f1,redcar,3,X,X,X
inspire_f1,redcar,4,X,X,X
inspire_f1,saucepan,0,X,X,X
inspire_f1,saucepan,1,X,X,X
inspire_f1,saucepan,2,X,X,X
inspire_f1,saucepan,3,X,X,X
inspire_f1,saucepan,4,X,X,X
inspire_f1,saucepan,5,X,X,X
inspire_f1,saucepan,6,X,X,X
inspire_f1,saucepan,7,X,X,X
inspire_f1,scotch_tape,0,X,X,X
inspire_f1,scotch_tape,1,X,X,X
inspire_f1,scotch_tape,2,X,X,X
inspire_f1,scotch_tape,3,X,X,X
inspire_f1,scotch_tape,4,X,X,X
inspire_f1,scotch_tape,5,X,X,X
inspire_f1,scotch_tape,6,X,X,X
inspire_f1,screwdriver,0,X,X,X
inspire_f1,screwdriver,1,X,X,X
inspire_f1,screwdriver,2,X,X,X
inspire_f1,screwdriver,3,X,X,X
inspire_f1,screwdriver,4,X,X,X
inspire_f1,servingbowl_small,0,X,X,X
inspire_f1,servingbowl_small,1,X,X,X
inspire_f1,servingbowl_small,2,X,X,X
inspire_f1,servingbowl_small,3,X,X,X
inspire_f1,servingbowl_small,4,X,X,X
inspire_f1,servingbowl_small,5,X,X,X
inspire_f1,servingbowl_small,6,X,X,X
inspire_f1,smallbowl,0,X,X,X
inspire_f1,smallbowl,1,X,X,X
inspire_f1,smallbowl,2,X,X,X
inspire_f1,smallbowl,3,X,X,X
inspire_f1,smallbowl,4,X,X,X
inspire_f1,soaptray,0,X,X,X
inspire_f1,soaptray,1,X,X,X
inspire_f1,soaptray,2,X,X,X
inspire_f1,soaptray,3,X,X,X
inspire_f1,soaptray,4,X,X,X
inspire_f1,spam_can,0,X,X,X
inspire_f1,spam_can,1,X,X,X
inspire_f1,spam_can,2,X,X,X
inspire_f1,spam_can,3,X,X,X
inspire_f1,spam_can,4,X,X,X
inspire_f1,spicemill,0,X,X,X
inspire_f1,spicemill,1,X,X,X
inspire_f1,spicemill,2,X,X,X
inspire_f1,spicemill,3,X,X,X
inspire_f1,spicemill,4,X,X,X
inspire_f1,spray_bottle,0,X,X,X
inspire_f1,spray_bottle,1,X,X,X
inspire_f1,spray_bottle,2,X,X,X
inspire_f1,spray_bottle,3,X,X,X
inspire_f1,spray_bottle,4,X,X,X
inspire_f1,spray_bottle,5,X,X,X
inspire_f1,standing_frame,0,X,X,X
inspire_f1,standing_frame,1,X,X,X
inspire_f1,standing_frame,2,X,X,X
inspire_f1,standing_frame,3,X,X,X
inspire_f1,standing_frame,4,X,X,X
inspire_f1,standing_frame,5,X,X,X
inspire_f1,standing_frame,6,X,X,X
inspire_f1,standing_frame,7,X,X,X
inspire_f1,tea_case,0,X,X,X
inspire_f1,tea_case,1,X,X,X
inspire_f1,tea_case,2,X,X,X
inspire_f1,tea_case,3,X,X,X
inspire_f1,tea_case,4,X,X,X
inspire_f1,tennis_ball,0,X,X,X
inspire_f1,tennis_ball,1,X,X,X
inspire_f1,tennis_ball,2,X,X,X
inspire_f1,tennis_ball,3,X,X,X
inspire_f1,tennis_ball,4,X,X,X
inspire_f1,tennis_ball,5,X,X,X
inspire_f1,tennis_ball,6,X,X,X
inspire_f1,thermo_clock,0,X,X,X
inspire_f1,thermo_clock,1,X,X,X
inspire_f1,thermo_clock,2,X,X,X
inspire_f1,thermo_clock,3,X,X,X
inspire_f1,thermo_clock,4,X,X,X
inspire_f1,thermo_clock,5,X,X,X
inspire_f1,thermo_clock,6,X,X,X
inspire_f1,thermo_clock,7,X,X,X
inspire_f1,toothbrush_holder,0,X,X,X
inspire_f1,toothbrush_holder,1,X,X,X
inspire_f1,toothbrush_holder,2,X,X,X
inspire_f1,toothbrush_holder,3,X,X,X
inspire_f1,toothbrush_holder,4,X,X,X
inspire_f1,toothbrush_holder,5,X,X,X
inspire_f1,toothbrush_holder,6,X,X,X
inspire_f1,toothbrush_holder,7,X,X,X
inspire_f1,toothbrush_holder,8,X,X,X
inspire_f1,toothbrush_holder,9,X,X,X
inspire_f1,toothbrush_holder,10,X,X,X
inspire_f1,toothbrush_holder,11,X,X,X
inspire_f1,toothbrush_holder,12,X,X,X
inspire_f1,washing_brush,0,X,X,X
inspire_f1,washing_brush,1,X,X,X
inspire_f1,washing_brush,2,X,X,X
inspire_f1,washing_brush,3,X,X,X
inspire_f1,washing_brush,4,X,X,X
inspire_f1,washing_brush,5,X,X,X
inspire_f1,washing_brush,6,X,X,X
inspire_f1,washing_brush2,0,X,X,X
inspire_f1,washing_brush2,1,X,X,X
inspire_f1,washing_brush2,2,X,X,X
inspire_f1,washing_brush2,3,X,X,X
inspire_f1,washing_brush2,4,X,X,X
